title,authors,publisher,year,rating,ratings_count,pages,domain,tags,framework_ref,categories,isbn,url,summary,source,collected_at
"Meditation and Mindfulness. The Secrets to Raising Your Awareness, Spirituality and Inner Peace through Mindfulness Meditation",Parthiben Sivaprakasam,GRIN Verlag,2014,,,34,Self-Awareness,mindfulness,none,Social Science,9783656730460,https://play.google.com/store/books/details?id=hUqFBAAAQBAJ&source=gbs_api,"Essay from the year 2014 in the subject Sociology - Knowledge and Information, grade: 12, -, language: English, abstract: There is a very thin arbitrary line between our daily lives and meditation. Meditation has different meanings and it perceived differently in various parts of the world. Though mindfulness is a modern term, it has its roots back in the concept of meditation. The term actually compliments meditation. This book lays a strong foundation on the basics of mindfulness and meditatio",Google Books,2026-08-30
Guided Meditations for Beginners,Mindfulness Mastery,Mindfulness Mastery,2024,,,82,Self-Awareness,mindfulness|introspection|self-discovery,none,"Body, Mind & Spirit",,https://play.google.com/store/books/details?id=hxQFEQAAQBAJ&source=gbs_api,"EMBARK ON A JOURNEY OF SELF-DISCOVERY WITH GUIDED MEDITATIONS FOR BEGINNERS Delve into the transformative world of meditation with ""Guided Meditations for Beginners."" This comprehensive guide offers a doorway into the serene realm of mindfulness, perfect for those taking their first steps on the path to inner peace. Discover the essence of meditation as this book unravels the mysteries behind its practice. Learn the fundamental techniques and principles that lay the groundwork for a fulfilling m",Google Books,2026-08-30
"Wherever You Go, There You Are",Jon Kabat-Zinn,Balance,2023,,,277,Self-Awareness,mindfulness,none,Self-Help,9780306832024,https://play.google.com/store/books/details?id=kF-3EAAAQBAJ&source=gbs_api,"Find quiet reflective moments in your life—and reduce your stress levels drastically—with this classic bestselling guide updated and featuring a new introduction and afterword. When Wherever You Go, There You Are was first published in 1994, no one could have predicted that the book would launch itself onto bestseller lists nationwide and sell over 1 million copies to date. Thirty years later, Wherever You Go, There You Are remains a foundational guide to mindfulness and meditation, introducing ",Google Books,2026-08-30
Meditation Is Not What You Think,Jon Kabat-Zinn,Hachette Books,2018,,,252,Self-Awareness,mindfulness,none,"Body, Mind & Spirit",9780316522021,https://play.google.com/store/books/details?id=Qjs2DwAAQBAJ&source=gbs_api,"Welcome to a master class in mindfulness. Jon Kabat-Zinn is regarded as ""one of the finest teachers of mindfulness you'll ever encounter"" (Jack Kornfield). He has been teaching the tangible benefits of meditation in the mainstream for decades. Today, millions of people around the world have taken up a formal mindfulness meditation practice as part of their everyday lives. But what is meditation anyway? And why might it be worth trying? Or nurturing further if you already have practice? Meditatio",Google Books,2026-08-30
Falling Awake,Jon Kabat-Zinn,Hachette Books,2018,,,189,Self-Awareness,mindfulness,none,"Body, Mind & Spirit",9780316521970,https://play.google.com/store/books/details?id=jDs2DwAAQBAJ&source=gbs_api,"Think you have no time for mindfulness? Think again. ""Thoughtful and provocative.... The relevance of this work is unquestionable, as it leaves us inspired and optimistic that true healing really is possible"" (Sharon Salzberg). For four decades, Jon Kabat-Zinn has been teaching the tangible benefits of meditation in the mainstream. Today millions of people have taken up a formal mindfulness meditation practice as part of their everyday lives. But how do you actually go about meditating? What doe",Google Books,2026-08-30
Buddha's Book of Sleep,Joseph Emet,"Hay House, Inc",2012,,,161,Self-Awareness,self-awareness|mindfulness,none,Health & Fitness,9781781800812,http://books.google.com/books?id=PNqyMqfJQPsC&dq=mindfulness+meditation&hl=&as_pt=BOOKS&source=gbs_api,"Sleep deprivation is a growing problem worldwide. We go to our doctors for advice, but they seem to have nothing but pills to counteract this predicament, and these quick fixes fail to get to the root of the problem.Buddha's Book of Sleep is the first book to treat sleep disorders from the perspective of mindfulness meditation. Yet this is a natural choice - mindfulness meditation has proven effective for other psychological problems such as stress, depression and anxiety and these very issues a",Google Books,2026-08-30
Buddha's Book of Stress Reduction,Joseph Emet,TarcherPerigee,2013,,,226,Self-Awareness,mindfulness,none,Biography & Autobiography,9780399167331,http://books.google.com/books?id=Kj_aCwAAQBAJ&dq=mindfulness+meditation&hl=&as_pt=BOOKS&source=gbs_api,"From stress to well-being—give yourself the gift of the Buddha’s peace. No, it is not all in your head: life is stressful, and some lives more so than others. Yet people react to the same situations differently, and recognizing the difference between what we can control and what we can’t is crucial for stress management—and it is an awakening in and of itself. This practical book is designed to bring the benefits of mindfulness meditation practice to stress reduction. Unlike other stress-reducti",Google Books,2026-08-30
"Start Here, Start Now",Bhante Gunaratana,Simon and Schuster,2019,,,101,Self-Awareness,mindfulness,none,Philosophy,9781614296317,https://play.google.com/store/books/details?id=G1WKDwAAQBAJ&source=gbs_api,"A new book distilling Wisdom’s definitive masterpiece on mindfulness and all-time bestseller, Mindfulness in Plain English, down to a pocket-sized guide with everything you need to get started practicing mindfulness right now. In a clear, friendly voice, this concise collection of beloved and renowned meditation master Bhante G’s bestselling instructions will teach you everything you need to know to start—and maintain!—your mindfulness meditation practice. The book includes practical advice on W",Google Books,2026-08-30
The Five Core Skills of Mindfulness,Terry Fralich,PESI Publishing & Media,2013,,,238,Self-Awareness,mindfulness,none,Psychology,9781936128044,http://books.google.com/books?id=nEJEBgAAQBAJ&dq=mindfulness+meditation&hl=&as_pt=BOOKS&source=gbs_api,"Unlike general definitions and concepts of mindfulness, Five Core Skills describes in clear language a skill-based and integrated practice you can use right away to reduce stress, minimize suffering and enhance life. With the insights, exercises and meditations in Part One, all the resources are there to experience the peace of living more mindfully. In Part Two, author Terry Fralich draws on his 35 years of experience with personal essays about mindfulness in the context of nature, relationship",Google Books,2026-08-30
Finding the Center Within,"Thomas Bien, Beverly Bien",Turner Publishing Company,2007,,,258,Self-Awareness,mindfulness,none,Self-Help,9780470240298,https://play.google.com/store/books/details?id=THnuEAAAQBAJ&source=gbs_api,"""Finding the Center Within is a practical manual on the practice of mindfulness, which can help many people to embody their Buddha nature and become radiant and peaceful beings. It provides easy steps for practicing mindfulness in day-to-day living."" -Thich Nhat Hanh, author of Peace Is Every Step, The Miracle of Mindfulness, and Anger: Wisdom for Cooling the Flames All of us want to live a calmer, more peaceful existence. Thomas and Beverly Bien teach that if we find the center within through o",Google Books,2026-08-30
Buddha's Book of Meditation,Joseph Emet,TarcherPerigee,2015,,,242,Self-Management,self-control|self-regulation,none,"Body, Mind & Spirit",9780399172625,http://books.google.com/books?id=4D7aCwAAQBAJ&dq=mindfulness+meditation&hl=&as_pt=BOOKS&source=gbs_api,"A journey from “brainfulness” to mindfulness, from self-control to self-regulation, and from indifference to compassion Mindfulness meditation is an increasingly popular form of an ancient and powerful technique for reducing stress, elevating one’s mental state, and improving the practitioner’s overall quality of life. Award-winning author and mindfulness meditation teacher Joseph Emet now takes you down a step-by-step path to integrate this potent form of meditation into your daily life. Offeri",Google Books,2026-08-30
Mindfulness and Buddhist-Derived Approaches in Mental Health and Addiction,"Edo Shonin, William Van Gordon, Mark D. Griffiths",Springer,2015,,,429,Self-Awareness,mindfulness,none,Psychology,9783319222554,https://play.google.com/store/books/details?id=nPTuCgAAQBAJ&source=gbs_api,"This book provides a timely synthesis and discussion of recent developments in mindfulness research and practice within mental health and addiction domains. The book also discusses other Buddhist-derived interventions – such as loving-kindness meditation and compassion meditation – that are gaining momentum in clinical settings. It will be an essential text for researchers and mental health practitioners wishing to keep up-to-date with developments in mindfulness clinical research, as well as an",Google Books,2026-08-30
Self-Discovery,Emmanuel N Porters,Independently Published,2023,,,0,Self-Awareness,self-awareness|self-discovery|sense-of-purpose|identity,none,,9798391170266,http://books.google.com/books?id=-9LWzwEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Who am I? What is my purpose in life? These are questions that have plagued humanity since the beginning of time. As we go through life, we often find ourselves at a crossroads, unsure of who we are or where we are going. This is what is known as an identity crisis, a feeling of confusion and uncertainty about oneself and one's place in the world. But there is a way to avoid this crisis and find a sense of purpose and fulfilment in life. It begins with self-discovery. By taking the time to under",Google Books,2026-08-30
The Awareness of Self Discovery,William Samuel,,1970,,,,Uncategorised,,none,,9780916108526,http://books.google.com/books?id=l5qPAAAACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
The Journey to Self Discovery,Emmanuel Joseph,,2024,,,0,Self-Awareness,introspection|self-discovery|identity,none,Psychology,9788023477146,http://books.google.com/books?id=4kOP0AEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Title: The Journey to Self Discovery: Unraveling the Layers of Identity embark on an enlightening exploration of the intricate tapestry of human identity in ""The Journey to Self Discovery: Unraveling the Layers of Identity."" This profound and insightful book delves into the complexities, nuances, and transformative nature of self-discovery, guiding readers through the multifaceted dimensions that shape our identities. From the roots of identity embedded in familial ties and cultural influences t",Google Books,2026-08-30
The Oxford Handbook of Identity Development,"Kate C. McLean, Moin U. Syed",,2015,,,625,Self-Awareness,identity,none,Psychology,9780199936564,http://books.google.com/books?id=QXLDBAAAQBAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,Identity is defined in many different ways in various disciplines in the social sciences and sub-disciplines within psychology. The developmental psychological approach to identity is characterized by a focus on developing a sense of the self that is temporally continuous and unified across the different life spaces that individuals inhabit. Erikson proposed that the task of adolescence and young adulthood was to define the self by answering the question: Who Am I? There have been many advances ,Google Books,2026-08-30
Constructing Identity. Narratives of Self-Exploration in Two Blogs of Female Solo Travellers,Marie-Kristin Hofmann,GRIN Verlag,2017,,,57,Self-Awareness,identity,none,Literary Collections,9783668494251,https://play.google.com/store/books/details?id=f7suDwAAQBAJ&source=gbs_api,"Bachelor Thesis from the year 2015 in the subject American Studies - Literature, grade: 1,3, University of Mannheim (Lehrstuhl für Amerikanische Literatur- und Kulturwissenschaft), language: English, abstract: Travel blogs, as narratives of identity, can provide a particularly apt insight into female solo travellers’ identity constructions and the narrative strategies they use to present these identities to their readers. Using an exploratory and qualitative approach, this paper aims at explorin",Google Books,2026-08-30
Identity In Recovery,"Lila Santoro, AI",Publifye AS,2025,,,123,Self-Awareness,identity,none,Psychology,9788235277763,https://play.google.com/store/books/details?id=6WxPEQAAQBAJ&source=gbs_api,"""""Identity In Recovery"""" proposes that lasting freedom from addiction stems from a fundamental shift in self-perception and social roles, not just abstinence. It explores how individuals often adopt an """"identity foreclosure"""" centered around substance use, limiting their potential. The book then introduces """"identity reconstruction,"""" a process of dismantling this identity and building a new one based on personal values and healthy relationships. By understanding addiction as a complex biopsych",Google Books,2026-08-30
"Identity: Self Discovery, Purpose and Leadership",Oluwatosin Olajumoke Arodudu,,2020,,,260,Relationship Management,influence|coaching|leadership,none,Self-Help,9789785587159,http://books.google.com/books?id=Ey1VzQEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Many great minds are trapped and locked up in a cage as a result of their background and social conditioning. They are muddled up and shielded away from realizing their great potentials by a defeatist mindset and mental strangleholds in their subconscious. No matter what they hear, or who is around them to help them grow, they suffer from MIND BLOCKAGE and just can't break out from their current mind hole. IDENTITY is a reference book on personal development that identifies with, and describes t",Google Books,2026-08-30
Navigating the Self,"Barrett Williams, ChatGPT",Barrett Williams,2025,,,121,Self-Awareness,self-awareness|self-discovery|identity,goleman,Self-Help,,https://play.google.com/store/books/details?id=onGMEQAAQBAJ&source=gbs_api,"**Discover the Path to Your Authentic Self with ""Navigating the Self""** In a world overflowing with noise and expectations, finding your true identity can feel like an intricate puzzle. ""Navigating the Self"" is your essential guide on this transformative journey, allowing you to explore who you truly are while embracing the complexities of modern life. **Chapter Highlights Include** **Understanding the Importance of Identity** Dive deep into the concept of identity and how your self-view shapes ",Google Books,2026-08-30
"Where I belong is who I am. The Search for Identity in Elisabeth Eaves' ""Wanderlust: A Love Affair with Five Continents""",Marie-Kristin Hofmann,GRIN Verlag,2017,,,31,Self-Awareness,identity,none,Literary Criticism,9783668508323,https://play.google.com/store/books/details?id=KnkyDwAAQBAJ&source=gbs_api,"Seminar paper from the year 2014 in the subject English Language and Literature Studies - Literature, grade: 1,0, University of Mannheim (Lehrstuhl für Anglistische Literatur- und Kulturwissenschaft), language: English, abstract: Travel writing helps travel writers to redefine their identity and to revise their concept of home as well as to determine its relative position in the world when using it as a frame of reference. In ""Wanderlust: A Love Affaire with Five Continents"", Elisabeth Eaves, bo",Google Books,2026-08-30
Empower Yourself Against Racial and Cultural Stress,,Guilford Publications,,,,306,Uncategorised,,none,,9781462553082,https://play.google.com/store/books/details?id=u5JCEQAAQBAJ&source=gbs_api,,Google Books,2026-08-30
My Own Identity,Marcela Melnic,,2023,,,0,Self-Awareness,identity,none,,9798985376326,http://books.google.com/books?id=nEwl0AEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Do our experiences shape who we are? In a world of opportunities and challenges, I embarked on a journey that reshaped my own identity. From the quiet corners of a small village town in Moldova, I discovered a hunger for exploration that led me across continents. Born into modest beginnings, I embraced the power of dreams and the strength of resilience. I reflected on my own social, national, and cultural identity to better understand the differences among people from around the world. I invite ",Google Books,2026-08-30
Self-Discovery and Identity,Chris Christian,"Christian Faith Publishing, Incorporated",2021,,,158,Self-Awareness,self-discovery|identity,none,Religion,9781639039654,http://books.google.com/books?id=EJC6zgEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"This book has both revelation and expository knowledge of how a man can discover himself. The book is like a loaded gun which points at darkness so as to bring people to light. It spent its virtues on revealing the principles of self-discovery and identity. The revelation is so desperate in alleviating the pains and ordinariness of men by telling them who they are. When a man discovers himself, he becomes a supernatural man. The clothing of men with the jacket of revelation and accomplishment of",Google Books,2026-08-30
"The Art and Science of Self-Discovery: Explore Your Personality, Discover Your Strengths, Gain Self-Awareness, and Design a Life That Fits You",Peter Hollins,,2018,,,208,Self-Awareness,self-awareness|self-knowledge|self-discovery|identity,none,,9781986008990,http://books.google.com/books?id=tYqaswEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Find what you were born for and discover your unique edge.Live your life, not someone else's.Self-discovery, identity, and personality. They are abstract terms until you realize that without knowing where you come from and who you are right now, you'll have no idea of where you should be going. And that's the difference between fulfillment and a listless existence.Lack clarity and direction? Finish this book with epiphanies and a clear plan.The Art and Science of Self-Discovery will bring you cl",Google Books,2026-08-30
The Power of Adoption: Healing Hearts and Changing Lives,Aurora Brooks,BabyDreamers.net,2023,,,43,Self-Awareness,self-discovery|identity,none,Health & Fitness,9781776981809,https://play.google.com/store/books/details?id=8tPVEAAAQBAJ&source=gbs_api,"The Power of Adoption: Healing Hearts and Changing Lives Are you considering adoption or interested in learning more about the adoption process? Look no further! ""The Power of Adoption: Healing Hearts and Changing Lives"" is the ultimate guide that will provide you with all the information you need to navigate the world of adoption. Table of Contents: 1. The Adoption Process 2. Types of Adoption 3. Domestic Adoption 4. International Adoption 5. Open Adoption 6. Closed Adoption 7. Foster Care Adop",Google Books,2026-08-30
"AWAKENED, The Quest for Self-Identity",Dr James,Spines,2024,,,0,Self-Awareness,self-awareness|self-discovery|identity,none,Self-Help,9798895694343,http://books.google.com/books?id=dsLx0AEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"The content narrates a personal journey of self-discovery, reflecting on the profound quest to understand identity and purpose. The author expresses a deep, introspective examination of who they are and why they exist, beginning this exploration in their youth and evolving through various life phases. Despite a non-religious upbringing, a pivotal moment occurred at the age of eight when reading the Bible instigated an enduring interest in belief systems, ultimately leading to an exploration of d",Google Books,2026-08-30
The Emotional Rollercoaster of the Adoption Process,Aurora Brooks,BabyDreamers.net,2023,,,35,Self-Awareness,self-discovery|identity,none,Health & Fitness,9781776981366,https://play.google.com/store/books/details?id=gNPVEAAAQBAJ&source=gbs_api,"Are you considering adoption or currently going through the adoption process? If so, ""The Emotional Rollercoaster of the Adoption Process"" is the perfect short read book for you. This insightful guide takes you on a journey through the highs and lows of the adoption process, providing valuable information and emotional support along the way. In ""The Emotional Rollercoaster of the Adoption Process,"" you will find a comprehensive table of contents that covers every aspect of the adoption journey. ",Google Books,2026-08-30
No Box Can Hold,Unique Ink Publishing,,2015,,,202,Self-Awareness,identity,none,Literary Collections,9781939957023,http://books.google.com/books?id=_4cXjwEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,"Identity manifests over time and comes in many different forms. This is why No Box Can Hold is such a powerful and important anthology. Compiled by students from Roosevelt High School in Portland, Oregon, this book consists of poems, vignettes, short stories, essays, plays, art and photography centered around the theme of identity. Authors of all ages are featured in this compilation-from students, to community members and leaders, and even renowned writers like Maya Angelou and Langston Hughes.",Google Books,2026-08-30
Barnaby Rudge,Charles Dickens,Good Press,2024,,,768,Self-Awareness,identity,none,Fiction,,https://play.google.com/store/books/details?id=3R3mEAAAQBAJ&source=gbs_api,"Set against the backdrop of the Gordon Riots of 1780, Charles Dickens's ""Barnaby Rudge"" masterfully intertwines historical narrative with rich character development and social commentary. Written in Dickens's signature episodic style, the novel presents a vibrant tableau of London, where the innocence of the eponymous Barnaby, a simple-minded young man, juxtaposes the chaos of mob violence and societal unrest. Dickens employs vivid imagery and poignant dialogue, revealing the profound impacts of",Google Books,2026-08-30
Self-Discovery and Personal Identity Prompt Journal,Hannah Javier-Grant,,2024,,,0,Self-Awareness,self-discovery|identity,none,Self-Help,9798990095649,http://books.google.com/books?id=9zyq0AEACAAJ&dq=self+discovery+identity&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Self Discovery Journal,Tiffany Adams,Roland Bind,2020,,,124,Professional Effectiveness,focus|success,none,Crafts & Hobbies,,https://play.google.com/store/books/details?id=mEEAEAAAQBAJ&source=gbs_api,"Over 69 percent of people feel trapped in their same old redundant routine. Are you one of them? Do you wake up to your alarm in the mornings, get ready for work as usual, and feel like something in your life is missing? Something with significance? Are you tired of doing the things you typically do, expecting a new outcome each time, only to be disappointed when you make absolutely no personal progress or growth whatsoever? Do you want to create a new life for yourself -- one filled with genuin",Google Books,2026-08-30
Emotional Literacy,Claude Steiner,Personhood Press,2003,,,312,Self-Awareness,emotional-literacy,none,Psychology,9781932181029,http://books.google.com/books?id=WglQfhXCc54C&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"This step-by-step program opens the door to achieving emotional power. Instructions are given on how emotional literacy -- intelligence with a heart -- can be learned through practising specific exercises that foster the awareness of emotion in oneself and others, by increasing capacities to love others and oneself while developing honesty, and by taking responsibility for one's actions. Provided are instructions on how to reverse the dangerous self-destructive emotional patterns that can rule a",Google Books,2026-08-30
The Emotional Literacy Handbook,"James Park, Alice Haddon, Harriet Goodman",Routledge,2012,,,279,Self-Awareness,emotional-literacy,none,Education,9781135398170,https://play.google.com/store/books/details?id=yGNuBwAAQBAJ&source=gbs_api,"Demonstrating how schools can reduce conflict and bullying, this title promotes tolerance and stimulates a positive attitude to teaching and learning by creating an emotionally literate environment.",Google Books,2026-08-30
Nurturing Emotional Literacy,Peter Sharp,Routledge,2014,,,162,Self-Awareness,emotional-literacy,none,Education,9781136608841,https://play.google.com/store/books/details?id=94e3AwAAQBAJ&source=gbs_api,"Nurturing Emotional Literacy helps people to recognise, understand, handle and appropriately express their emotions. How we manage our emotions and the positive impact that 'emotional literacy' can have on improving standards in schools has been overshadowed recently by the attention given to the three 'Rs'. This handbook seeks to redress this and looks at the importance of the fourth 'R' - Relationships. The author offers advice, guidance and support to help people become more successful by man",Google Books,2026-08-30
Focus on Feelings(R): Increasing Emotional Literacy,Carmen Jimenez-Pride,Play Therapy with Carmen,2021,,,36,Self-Awareness,emotional-literacy,none,Juvenile Nonfiction,9781734455755,http://books.google.com/books?id=jZ8dzgEACAAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"Focus on Feelings(R) Increasing Emotional Literacy assist children's ability to identify, understand, and express their feelings. This colorful multicultural resource was designed to assist parents, caregivers, teachers, mental health professionals, and play therapists to help children focus on their feelings and increase their emotional literacy.",Google Books,2026-08-30
Emotional Literacy,Jane Adams,Andrews UK Limited,2015,,,183,Self-Awareness,emotional-literacy,none,Education,9781909102156,https://play.google.com/store/books/details?id=mew_CgAAQBAJ&source=gbs_api,"A must have for every teacher who wants to develop the emotional competence of children in their class. This resource contains 45 lessons - more than enough for one lesson per week! The lessons each contain detailed teachers' notes, warm up games and activities, questions to ask and ideas about what to expect. Most lessons also include a photocopiable activity. The activities are divided into 5 sections: knowing myself, developing empathy, managing feelings, developing social skills and the big ",Google Books,2026-08-30
Emotional Intelligence in Schools,Katherine M. Krefft,Routledge,2019,,,214,Self-Management,motivation|anxiety,goleman,Psychology,9780429614507,https://play.google.com/store/books/details?id=Sny-DwAAQBAJ&source=gbs_api,"This text presents a methodical, organized approach to counseling students in emotional intelligence (EI) by detailing how to understand and direct emotions, while also keying counselors directly to the underlying emotional motivations behind the behaviors. Divided into four units, the book starts with an overview of emotions and continues to explore the nature of anger, fear, grief, and guilt. Chapters present both explanatory narratives and teen-centered activities to show how these challengin",Google Books,2026-08-30
Teaching with Emotion,Michalinos Zembylas,Emerald Group Publishing,2005,,,239,Thinking & Deciding,logic,none,Education,9781918116687,https://play.google.com/store/books/details?id=4quwEQAAQBAJ&source=gbs_api,"This book explores new theoretical, methodological, and empirical directions in research on teacher emotion. It discusses how discursive, political, and cultural aspects define teacher emotion, and includes conceptual chapters and a three-year ethnographic study. It aims to critically examine and explore the role of emotion in teaching.",Google Books,2026-08-30
Developing the Emotionally Literate School,Katherine Weare,SAGE,2003,,,236,Self-Awareness,emotional-literacy,none,Education,9781847877406,https://play.google.com/store/books/details?id=GWdoZLTz09UC&source=gbs_api,"`As someone with an interest in emotional literacy and in developing emotional literacy work in schools, I found this book an impressive resource. I would recommend it for those interested in this area, those working within schools on emotional literacy, and for school staff interested in developing their schools as emotionally literature organizations′ - Debate `This is an authoritative and scholarly book that does not attempt to offer a simple fix-it solution but one that should lead to an inf",Google Books,2026-08-30
Whole School Emotional Literacy Indicator,Elizabeth Morris,Routledge,2017,,,42,Self-Awareness,emotional-literacy,none,,9780863887017,http://books.google.com/books?id=CR5JngEACAAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"This audit tool can be used to prepare the way for successfully integrating social and emotional competence development into the school ethos, policies and practices. Research conducted by the School of Emotional Literacy has demonstrated how essential a minimum level of readiness is for the programme to be successful. This audit tool provides a framework for exploring readiness and gives guidelines for taking the work forward very effectively in the school or organisation.",Google Books,2026-08-30
Emotional Literacy,Patricia Sherwood,Aust Council for Ed Research,2008,,,161,Self-Awareness,emotional-literacy,none,Education,9780864318091,http://books.google.com/books?id=H6S1V0LRASUC&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"Emotional Literacy: The heart of classroom management is a pioneering book for primary school teachers, counsellors and therapists who wish to develop emotional literacy skills in classroom situations.",Google Books,2026-08-30
The Emotional Curriculum,"Sue Cornwell, Jill Bundy",SAGE,2008,,,133,Professional Effectiveness,career|achievement,none,Education,9780857023032,https://play.google.com/store/books/details?id=pLoRMVJDyeUC&source=gbs_api,"Includes CD-Rom Research indicates that emotionally literate people perform better in many areas of their lives; relationships, achievement, careers, and that programmes teaching social and emotional competencies result in a wide range of educational gains including improved school attendance, higher motivation and higher morale. Teachers have a key role to play in facilitating the development of those skills that help children to understand and regulate their emotional lives. The book provides ",Google Books,2026-08-30
"Engaging Education: Developing Emotional Literacy, Equity And Coeducation","Matthews, Brian",McGraw-Hill Education (UK),2005,,,232,Professional Effectiveness,focus|achievement,goleman,Education,9780335215799,http://books.google.com/books?id=ybDlAAAAQBAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"""Brian Matthews brings intellectual rigour as well as passionate commitment to the important tasks of appreciating the role that emotional literacy can play in a refreshing education. It is a powerful combination. It is because he understands so well the need to attend to the purpose of education that he is so illuminating on the strategies that will give all young people the best possible chance to learn and to grow."" James Park, Director, Antidote ""This book will be read by individuals who hav",Google Books,2026-08-30
Emotional Literacy,Rob Bocchino,Corwin Press,1999,,,180,Professional Effectiveness,focus|success,none,Education,9780803968240,http://books.google.com/books?id=V_t7uAuRPDkC&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"""Timely and useful. Provides clear and practical strategies to help young people and adults achieve successful and satisfying lives by understanding and managing emotions."" Robert Garmston, Professor Emeritus California State University, Sacramento ""Emotional Literacy offers a concise and practical application of the social skills needed to be a productive, fulfilled member of society. This must-read is for everyone concerned about the development of the whole child."" Pat Wolfe, Educational Cons",Google Books,2026-08-30
Individual Emotional Literacy Indicator,Elizabeth Morris,School of Emotional Literacy,2003,,,207,Self-Awareness,emotional-literacy,none,Affect (Psychology),9781904801009,http://books.google.com/books?id=JALJZ8X0_N4C&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Emotional Intelligence in Schools,"Katherine M Krefft, Taylor & Francis Group",Routledge,2019,,,224,Self-Management,motivation|anxiety,goleman,,9780367175528,http://books.google.com/books?id=U6ndxwEACAAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"This text presents a methodical, organized approach to counseling students in emotional intelligence (EI) by detailing how to understand and direct emotions, while also keying counselors directly to the underlying emotional motivations behind the behaviors. Divided into four units, the book starts with an overview of emotions and continue to explore the nature of anger, fear, grief, and guilt. Chapters present both explanatory narratives and teen-centered activities to show how these challenging",Google Books,2026-08-30
Emotional Literacy Pocketbook,"James Park, Marilyn Tew",Pocketbooks,2007,,,130,Professional Effectiveness,success|effectiveness,none,Education,9781903776803,http://books.google.com/books?id=m8sGJUXyIsMC&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"By helping students to recognise, understand and handle emotions- their own and others' - we can build their self-esteem, improvetheir confidence and pave the way for them to becomeeducationally and socially successful. The authors use casestudies to demonstrate the effectiveness of helping children tofeel CLASI - Capable, Listened to, ......",Google Books,2026-08-30
Creating Emotionally Literate Classrooms,"Marc A Brackett, Janet Pickard Kremenitzer",National Professional Resources Inc./Dude Publishing,2011,,,146,Professional Effectiveness,achievement,none,Education,9781934032183,http://books.google.com/books?id=GK3h9zypOi8C&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"A research-based, field-tested program that enhances academic achievement and social competence with developmentally appropriate lessons that are integrated across the curriculum for K-5. The methodology accommodates all learning styles, with six concrete ""how to"" steps for quick and easy implementation. It also comes with the reproducible materials for student use, as well as supporting teacher materials.",Google Books,2026-08-30
Emotional Literacy Indicator for Early Years,Elizabeth Morris,Routledge,2017,,,46,Self-Awareness,emotional-literacy,none,Literacy,9780863887024,http://books.google.com/books?id=qtT0oAEACAAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"This indicator, designed for use with the early years age group, provides a quick and straightforward format for parents, teachers, social workers or any significant adult working in a supportive role with a young child, to gain an indication of their level of emotional development. Its purpose is to provide a simple, easy to use, starting point for development.",Google Books,2026-08-30
Emotional Literacy,Francis F. Seeburger,Crossroad,1997,,,0,Self-Awareness,emotional-literacy,none,Emotions (Philosophy),9780824516079,http://books.google.com/books?id=bKQlNQAACAAJ&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"To be emotionally literate is to be able to feel and understand not only the full range of emotions, but the emotions appropriate to the actual situations in which we find ourselves moment by moment. Anger, fear, forgiveness and love - all take on new meaning when we are emotionally literate. By cultivating ""a well read heart,"" we experience healing and come to the heart of all emotions: joy.",Google Books,2026-08-30
