title,author,age_range,book_type,audience,casel_domain,problem_tags,source
Zach Stands Up,William Mulcahy,6-8,children_fiction,"children,educators",Social-Awareness,"bullying,confidence,courage",Free Spirit Publishing
Zach Apologizes,William Mulcahy,6-8,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,communication,conflict",Free Spirit Publishing
Jamie Is Jamie: A Book About Being Yourself and Playing Your Way,Afsaneh Moradian,6-8,children_fiction,"children,educators",Self-Awareness,"identity,self-acceptance,diversity",Free Spirit Publishing
Violet the Snowgirl: A Story of Loss and Healing,Lisa Walsh,6-8,children_fiction,"children,educators",Self-Management,"grief,loss,resilience",Free Spirit Publishing
Y Is for Yet: A Growth Mindset Alphabet,Shannon Anderson,6-9,children_nonfiction,"children,educators",Self-Management,"growth-mindset,resilience",Free Spirit Publishing
Mindset Power: A Kid's Guide to Growing Better Every Day,Shannon Anderson,8-12,children_nonfiction,"children,educators",Self-Management,"growth-mindset,resilience,confidence",Free Spirit Publishing
F Is for Feelings,Goldie Millar & Lisa A. Berger,6-8,children_nonfiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",Free Spirit Publishing
Sometimes When I'm Sad,Deborah Serani,6-8,children_fiction,"children,educators",Self-Management,"sadness,emotions,resilience",Free Spirit Publishing
I'm Happy-Sad Today: Making Sense of Mixed-Together Feelings,Lory Britain,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",Free Spirit Publishing
Just Because I Am: A Child's Book of Affirmation,Lauren Murphy Payne,6-8,children_nonfiction,"children,educators",Self-Awareness,"self-esteem,self-acceptance,confidence",Free Spirit Publishing
"I'm Like You, You're Like Me",Cindy Gainer,6-8,children_nonfiction,"children,educators",Social-Awareness,"diversity,inclusion,empathy",Free Spirit Publishing
What On Earth Do You Do When Someone Dies?,Trevor Romain,6-9,children_nonfiction,"children,educators",Self-Management,"grief,loss",Free Spirit Publishing
The Survival Guide for Kids with Behavior Challenges,Thomas McIntyre,8-12,children_nonfiction,"children,educators",Responsible-Decision-Making,"choices,impulse-control,responsibility",Free Spirit Publishing
My Body Belongs to Me: A Book About Body Safety,Jill Starishevsky,6-8,children_nonfiction,"children,educators",Responsible-Decision-Making,"body-safety,confidence",Free Spirit Publishing
Sometimes When I'm Worried,Deborah Serani,6-8,children_fiction,"children,educators",Self-Management,"anxiety,emotions",Free Spirit Publishing
Sometimes When I'm Bored,Deborah Serani,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,mindfulness",Free Spirit Publishing
Sometimes When I'm Mad,Deborah Serani,6-8,children_fiction,"children,educators",Self-Management,"anger,impulse-control",Free Spirit Publishing
I Want to Win,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"impulse-control,cooperation,conflict",Free Spirit Publishing
Take a Deep Breath,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"anger,mindfulness,emotions",Free Spirit Publishing
But What If?,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"anxiety,fear",Free Spirit Publishing
I Don't Want to Wait,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"impulse-control,frustration",Free Spirit Publishing
Who Feels Scared?,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"fear,anxiety",Free Spirit Publishing
I Don't Want to Play Nicely,Sue Graves,6-8,children_fiction,"children,educators",Relationship-Skills,"social-skills,cooperation,conflict",Free Spirit Publishing
Why Should I?,Sue Graves,6-8,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
I'm Not Happy,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"sadness,emotions",Free Spirit Publishing
I Hate Everything!,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"anger,emotions,impulse-control",Free Spirit Publishing
But Why Can't I?,Sue Graves,6-8,children_fiction,"children,educators",Self-Management,"impulse-control,responsibility",Free Spirit Publishing
"Not Fair, Won't Share",Sue Graves,6-8,children_fiction,"children,educators",Relationship-Skills,"sharing,conflict,cooperation",Free Spirit Publishing
I Didn't Do It!,Sue Graves,6-8,children_fiction,"children,educators",Responsible-Decision-Making,"honesty,responsibility",Free Spirit Publishing
I Know Happy,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",Free Spirit Publishing
I Know Mad,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Management,"anger,emotions,emotional-literacy",Free Spirit Publishing
I Know Sad,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Management,"sadness,emotions,emotional-literacy",Free Spirit Publishing
I Know Scared,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Management,"fear,anxiety,emotional-literacy",Free Spirit Publishing
I Know Silly,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Awareness,"emotions,emotional-literacy,self-acceptance",Free Spirit Publishing
I Know Curious,Lindsay N. Giroux,6-8,children_nonfiction,"children,educators",Self-Awareness,"emotions,emotional-literacy,growth-mindset",Free Spirit Publishing
Jamie and Bubbie: A Book About People's Pronouns,Afsaneh Moradian,6-9,children_fiction,"children,educators",Self-Awareness,"identity,inclusion,diversity",Free Spirit Publishing
The Survival Guide for Gifted Kids,Judy Galbraith,8-12,children_nonfiction,"children,educators",Self-Awareness,"self-esteem,peer-pressure,resilience",Free Spirit Publishing
The Survival Guide for Making and Being Friends,James J. Crist,8-12,children_nonfiction,"children,educators",Relationship-Skills,"friendship,social-skills,communication",Free Spirit Publishing
Survival Guide for Kids with Autism Spectrum Disorders,Elizabeth Verdick & Elizabeth Reeve,8-12,children_nonfiction,"children,educators",Relationship-Skills,"social-skills,school-anxiety,resilience",Free Spirit Publishing
The Survival Guide for Kids with Physical Disabilities and Challenges,Wendy L. Moss & Susan A. Taddonio,8-12,children_nonfiction,"children,educators",Self-Management,"resilience,self-esteem,identity",Free Spirit Publishing
The Survival Guide for Kids in Special Education (And Their Parents),Wendy L. Moss & Denise M. Campbell,8-12,children_nonfiction,"children,educators",Self-Management,"resilience,school-anxiety,self-esteem",Free Spirit Publishing
The Survival Guide for Money Smarts,Eric Braun & Sandy Donovan,8-12,children_nonfiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
Sleep Easy: A Mindfulness Guide to Getting a Good Night's Sleep,Paul Christelis,6-10,children_nonfiction,"children,educators",Self-Management,"anxiety,mindfulness,stress",Free Spirit Publishing
More Than What Eyes See: A Book About Blindness,Miso Kwak,6-9,children_fiction,"children,educators",Self-Awareness,"identity,self-acceptance,inclusion",Free Spirit Publishing
"Uncommonly Curious, Eternally Autistic: A Book About Autism",Rasha Hamid,6-9,children_fiction,"children,educators",Self-Awareness,"identity,self-acceptance,social-skills",Free Spirit Publishing
My Life as an Asthmanaut: A Book About Asthma,Jake Lockett,6-9,children_fiction,"children,educators",Self-Management,"resilience,self-acceptance,identity",Free Spirit Publishing
I Spark Like Lightning: A Book About Epilepsy,Jenna Elyse Johnson,6-9,children_fiction,"children,educators",Self-Management,"resilience,self-acceptance,courage",Free Spirit Publishing
"Dear Dad: Love, Nelson",Margarett McBride,6-9,children_fiction,"children,educators",Self-Management,"grief,loss,resilience",Free Spirit Publishing
Sometimes Stormy,Amanda Davis,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,resilience,emotional-literacy",Free Spirit Publishing
"Hello, Beech Tree!",Rasha Hamid,6-8,children_fiction,"children,educators",Self-Management,"mindfulness,gratitude,empathy",Free Spirit Publishing
The Best Good Thing,Anna Housley Juster,6-8,children_fiction,"children,educators",Self-Management,"grief,loss,resilience",Free Spirit Publishing
Santiago and Great Bear,Lisa Johnston Hancock,6-8,children_fiction,"children,educators",Self-Management,"resilience,courage,self-acceptance",Free Spirit Publishing
Worries Are Not Forever,Elizabeth Verdick,6-8,children_fiction,"children,educators",Self-Management,"anxiety,resilience,emotions",Free Spirit Publishing
What Does Grief Feel Like?,Korie Leigh,6-9,children_fiction,"children,educators",Self-Management,"grief,loss,emotions",Free Spirit Publishing
"Papa and Pearl: A Tale About Divorce, New Beginnings, and Love",Annette M. Clayton,6-8,children_fiction,"children,educators",Relationship-Skills,"divorce,conflict,resilience",Free Spirit Publishing
Name and Tame Your Anxiety: A Kid's Guide,Summer Batte,8-12,children_nonfiction,"children,educators",Self-Management,"anxiety,stress,resilience",Free Spirit Publishing
The Survival Guide for Kids with ADHD,John F. Taylor,9-12,children_nonfiction,"children,educators",Self-Management,"adhd,organization,impulse-control",Free Spirit Publishing
Stick Up for Yourself! Every Kid's Guide to Personal Power and Positive Self-Esteem,Gershen Kaufman & Lev Raphael,8-12,children_nonfiction,"children,educators",Self-Awareness,"self-esteem,confidence,assertiveness",Free Spirit Publishing
"Real Kids, Real Stories, Real Change: Courageous Actions Around the World",Garth Sundem,9-12,children_nonfiction,"children,educators",Self-Awareness,"courage,resilience,leadership",Free Spirit Publishing
"Real Kids, Real Stories, Real Character: Choices That Matter Around the World",Garth Sundem,9-12,children_nonfiction,"children,educators",Responsible-Decision-Making,"integrity,choices,responsibility",Free Spirit Publishing
"Real Kids, Real Stories, Real Challenges: Overcoming Adversity Around the World",Garth Sundem,9-12,children_nonfiction,"children,educators",Self-Management,"resilience,growth-mindset,courage",Free Spirit Publishing
Angry Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"anger,impulse-control",Ninja Life Hacks
Positive Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"optimism,growth-mindset",Ninja Life Hacks
Lazy Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"responsibility,growth-mindset",Ninja Life Hacks
Helpful Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"kindness,cooperation",Ninja Life Hacks
Earth Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"responsibility,choices",Ninja Life Hacks
Grumpy Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"gratitude,perspective-taking",Ninja Life Hacks
Kind Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"kindness,empathy",Ninja Life Hacks
Perfect Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"perfectionism,growth-mindset",Ninja Life Hacks
Money Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"responsibility,choices",Ninja Life Hacks
Anxious Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"anxiety,fear",Ninja Life Hacks
Gritty Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"resilience,frustration",Ninja Life Hacks
Dishonest Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"honesty,integrity",Ninja Life Hacks
Shy Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"social-skills,anxiety,confidence",Ninja Life Hacks
Unplugged Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"technology,impulse-control",Ninja Life Hacks
Diversity Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"diversity,inclusion",Ninja Life Hacks
Inclusive Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"inclusion,bullying,empathy",Ninja Life Hacks
Grateful Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"gratitude,manners",Ninja Life Hacks
Hangry Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"impulse-control,emotions",Ninja Life Hacks
Focused Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"organization,mindfulness,adhd",Ninja Life Hacks
Calm Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"anxiety,mindfulness",Ninja Life Hacks
Brave Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"courage,confidence",Ninja Life Hacks
Compassionate Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"empathy,kindness",Ninja Life Hacks
Confident Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"self-esteem,confidence",Ninja Life Hacks
Patient Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"impulse-control,frustration",Ninja Life Hacks
Organized Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,organization,Ninja Life Hacks
Communication Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"communication,social-skills",Ninja Life Hacks
Stressed Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"stress,anxiety",Ninja Life Hacks
Smart Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,growth-mindset,Ninja Life Hacks
Hopeful Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"optimism,resilience",Ninja Life Hacks
Worry Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"anxiety,stress",Ninja Life Hacks
Emotionally Intelligent Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"emotions,emotional-literacy",Ninja Life Hacks
Growth Mindset Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,growth-mindset,Ninja Life Hacks
Zen Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,mindfulness,Ninja Life Hacks
Hard-Working Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"responsibility,resilience",Ninja Life Hacks
Humble Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"self-acceptance,gratitude",Ninja Life Hacks
Sharing Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"sharing,cooperation",Ninja Life Hacks
Sad Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"sadness,grief,loss",Ninja Life Hacks
Listening Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"communication,social-skills",Ninja Life Hacks
Lonely Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"friendship,social-skills",Ninja Life Hacks
Self-Disciplined Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"impulse-control,responsibility",Ninja Life Hacks
Caring Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"empathy,kindness",Ninja Life Hacks
Curious Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"growth-mindset,resilience",Ninja Life Hacks
Nervous Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"anxiety,fear",Ninja Life Hacks
Problem-Solving Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"choices,resilience",Ninja Life Hacks
Motivated Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"responsibility,growth-mindset",Ninja Life Hacks
Jealous Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"jealousy,emotions",Ninja Life Hacks
Impulsive Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,impulse-control,Ninja Life Hacks
Integrity Ninja,Mary Nhin,6-10,children_fiction,children,Responsible-Decision-Making,"integrity,honesty",Ninja Life Hacks
Frustrated Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,"frustration,anger",Ninja Life Hacks
Disappointed Ninja,Mary Nhin,6-10,children_fiction,children,Self-Management,disappointment,Ninja Life Hacks
Feelings Ninja,Mary Nhin,6-10,children_fiction,children,Self-Awareness,"emotions,emotional-literacy",Ninja Life Hacks
Supportive Ninja,Mary Nhin,6-10,children_fiction,children,Social-Awareness,"empathy,kindness",Ninja Life Hacks
Respectful Ninja,Mary Nhin,6-10,children_fiction,children,Relationship-Skills,"manners,cooperation",Ninja Life Hacks
Nick and the Brick Builder Challenge,Jen Malia,6-10,children_fiction,children,Relationship-Skills,"cooperation,social-skills",Beaming Books
Violet and the Jurassic Land Exhibit,Jen Malia,6-10,children_fiction,children,Self-Management,"anxiety,resilience",Beaming Books
Remembering Sundays with Grandpa,Lauren H. Kerstein,6-8,children_fiction,children,Self-Management,"grief,loss",Beaming Books
Kaia's Big Felines,Aura Lewis,6-8,children_fiction,children,Self-Awareness,"emotions,emotional-literacy",Beaming Books
Kiki Kicks,Jane Yolen & Ariel Stemple,6-8,children_fiction,children,Social-Awareness,"bullying,self-esteem,confidence",Beaming Books
Be Your Own Bird,Russ Willms,6-8,children_fiction,children,Self-Management,"mindfulness,self-acceptance,confidence",Beaming Books
Superheroes Don't Babysit,Amber Hendricks,6-8,children_fiction,children,Relationship-Skills,"siblings,conflict",Beaming Books
Big Bear Was Not the Same,Joanna Rowland,6-8,children_fiction,children,Self-Management,"anxiety,fear,resilience",Beaming Books
Simon the Hugger,Stacy B. Davids,6-8,children_fiction,children,Responsible-Decision-Making,"body-safety,social-skills",Beaming Books
Little Mole Goes to School,Glenys Nellist,6-8,children_fiction,children,Self-Awareness,"self-esteem,school-anxiety",Beaming Books
Little Mole Finds Hope,Glenys Nellist,6-8,children_fiction,children,Self-Management,"resilience,optimism",Beaming Books
Penguins Don't Wear Pink,Jeffrey Turner,6-8,children_fiction,children,Responsible-Decision-Making,"peer-pressure,self-acceptance,identity",Beaming Books
Ish,Peter H. Reynolds,6-9,children_fiction,children,Self-Management,"perfectionism,self-acceptance,growth-mindset",Candlewick
Beautiful Oops!,Barney Saltzberg,6-8,children_fiction,children,Self-Management,"perfectionism,growth-mindset,resilience",Workman Publishing
Last Stop on Market Street,Matt de la Peña,6-8,children_fiction,children,Social-Awareness,"empathy,gratitude,perspective-taking",Putnam
Each Kindness,Jacqueline Woodson,6-9,children_fiction,children,Social-Awareness,"kindness,empathy,forgiveness",Nancy Paulsen Books
The Recess Queen,Alexis O'Neill,6-9,children_fiction,children,Social-Awareness,"bullying,friendship,kindness",Scholastic
Front Desk,Kelly Yang,8-12,children_fiction,children,Self-Management,"resilience,identity,courage",Scholastic
Because of Winn-Dixie,Kate DiCamillo,8-12,children_fiction,children,Relationship-Skills,"friendship,grief,loss,resilience",Candlewick
The One and Only Ivan,Katherine Applegate,8-12,children_fiction,children,Social-Awareness,"empathy,resilience,courage",HarperCollins
Harriet the Spy,Louise Fitzhugh,8-12,children_fiction,children,Relationship-Skills,"social-skills,honesty,friendship",Delacorte Press
Charlotte's Web,E.B. White,8-12,children_fiction,children,Relationship-Skills,"friendship,grief,loss,empathy",HarperCollins
Roller Girl,Victoria Jamieson,8-12,children_fiction,children,Relationship-Skills,"friendship,confidence,resilience,conflict",Dial Books
El Deafo,Cece Bell,8-12,children_fiction,children,Self-Awareness,"self-acceptance,friendship,identity,resilience",Amulet Books
Smile,Raina Telgemeier,8-12,children_fiction,children,Self-Awareness,"self-esteem,friendship,resilience,school-anxiety",Scholastic
Sisters,Raina Telgemeier,8-12,children_fiction,children,Relationship-Skills,"siblings,conflict,family,resilience",Scholastic
Drama,Raina Telgemeier,8-12,children_fiction,children,Relationship-Skills,"friendship,identity,cooperation,conflict",Scholastic
Hilo: The Boy Who Crashed to Earth,Judd Winick,6-10,children_fiction,children,Relationship-Skills,"friendship,identity,courage",Random House
Squish: Super Amoeba,Jennifer L. Holm,6-10,children_fiction,children,Social-Awareness,"bullying,friendship,resilience",Random House
How to Talk So Kids Will Listen & Listen So Kids Will Talk,Adele Faber & Elaine Mazlish,parents,parenting,parents,Relationship-Skills,"communication,emotions,conflict",Expert
The Whole-Brain Child,Daniel J. Siegel & Tina Payne Bryson,parents,parenting,parents,Self-Management,"anger,anxiety,emotions,resilience",Expert
The Explosive Child,Ross W. Greene,parents,parenting,parents,Self-Management,"anger,impulse-control,conflict",Expert
Raising an Emotionally Intelligent Child,John M. Gottman,parents,parenting,parents,Self-Awareness,"emotions,emotional-literacy",Expert
Playful Parenting,Lawrence J. Cohen,parents,parenting,parents,Self-Awareness,"confidence,friendship,social-skills",Expert
"Confident Parents, Confident Kids",Jennifer Miller,parents,parenting,parents,Self-Awareness,"emotions,self-esteem,resilience",Expert
No-Drama Discipline,Daniel J. Siegel & Tina Payne Bryson,parents,parenting,parents,Self-Management,"anger,impulse-control,emotions",Expert
The Anxious Child,Michael S. Brody,parents,parenting,parents,Self-Management,"anxiety,fear",Expert
Freeing Your Child from Anxiety,Tamar Chansky,parents,parenting,parents,Self-Management,"anxiety,fear",Expert
