title,author,age_range,book_type,audience,casel_domain,problem_tags,source,isbn,description,cover_url,rating,ratings_count,goodreads_rating,goodreads_ratings_count,goodreads_url,amazon_url
The Boy At the Back of the Class,Onjali Rauf,8-12,children_fiction,"children,educators",Social-Awareness,"empathy,diversity,inclusion",TeachingExpertise,9781663620712,,,,,,,,https://www.amazon.com/s?k=9781663620712
Have You Filled a Bucket Today?,Carol McCloud,6-9,children_fiction,"children,educators",Social-Awareness,"kindness,social-skills",TeachingExpertise,9780997486452,"This heartwarming book encourages positive behavior by using the concept of an invisible bucket to show children how easy and rewarding it is to express kindness, appreciation, and love by ""filling buckets."" Updated and revised, this 10th anniversary edition will help readers better understand that ""bucket dipping"" is a negative behavior, not a permanent label. It also explains that it's possible…",https://books.google.com/books/content?id=uHu6DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780997486452
The Boy Who Made the World Disappear,Ben Miller,6-9,children_fiction,"children,educators",Self-Management,"anger,impulse-control",TeachingExpertise,9781471172687,"‘A sheer delight for all kids both big AND small’ Ruth Jones on The Night I Met Father Christmas 'Bubbles with warmth and mischievous humour . . . irresistible' Alexander Armstrong on The Night I Met Father Christmas 'Wonderful, funny, magical' Chris Evans on How I Became a Dog Called Midnight Enter a world of wonder with an instant classic from comedian, actor and bestselling children's author,…",https://books.google.com/books/content?id=6m2GDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781471172687
Train Your Angry Dragon,Steve Herman,6-9,children_fiction,"children,educators",Self-Management,anger,TeachingExpertise,9781948040822,"Having a pet dragon is very fun. But what do you do if he gets angry or upset? What do you do when your dragon lost his cool and wants to burn everything to the ground? Get this book and learn how to train your angry dragon! A must have book for children and parents to teach kids about emotions and anger management. Fun, cute and entertaining with beautiful illustrations, this playful book will…",https://books.google.com/books/content?id=dJuRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781948040822
Teach Your Dragon to Make Friends,Steve Herman,6-9,children_fiction,"children,educators",Relationship-Skills,"friendship,social-skills",TeachingExpertise,9781948040433,Drew helps his pet dragon Diggory Doo with social skills to make friends.,https://books.google.com/books/content?id=96xyugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781948040433
My Body Sends a Signal,Natalia Maguire,6-9,children_fiction,"children,educators",Self-Awareness,"emotional-literacy,emotions",TeachingExpertise,9783982142838,,https://books.google.com/books/content?id=xPGczQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9783982142838
Kindness is my Superpower,Alicia Ortego,6-8,children_fiction,"children,educators",Social-Awareness,"kindness,empathy",TeachingExpertise,9781735974101,"Teach your children the power of Kindness, one of the most important skills a child can learn. Are you one of 90 percent of parents, saying that their top priorities for their kids is to be caring? This makes sense: Kindness and concern for others are held as moral virtues in nearly every society and every major religion. The best social-emotional learning (SEL) book for raising kind children.…",https://books.google.com/books/content?id=tS_0zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781735974101
Enemy Pie,Derek Munson,6-9,children_fiction,"children,educators",Relationship-Skills,"conflict,friendship,empathy",TeachingExpertise,9798855094350,"Hoping that the enemy pie which his father makes will help him get rid of his enemy, a little boy finds that instead it helps make a new friend.",https://books.google.com/books/content?id=7BbS0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9798855094350
The Way I Feel,Janan Cain,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",TeachingExpertise,9781641602495,"Through illustrations, text, color, and font to describe happy, disappointed, angry, jealous, and other feelings that kids experience, this book uses words and situations familiar to children to describe a wide variety of emotions, some seldom attributed to kids. The language is nonjudgmental, and free of bias and slang, and there are whimsical characters that appeal to both boys and girls.",https://books.google.com/books/content?id=nKOgEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781641602495
"The Boy with Big, Big Feelings",Britney Winn Lee,6-8,children_fiction,"children,educators",Self-Management,"anxiety,emotions,emotional-literacy",TeachingExpertise,9781506480220,"An instant classic in the world of Social-Emotional Learning, this bestselling picture book tells the story of one little boy with some big, big emotions -- and how he learns to see them for the gifts they are. The Boy with Big, Big Feelings is relatable for any child -- especially for a child experiencing anxiety, extreme emotions, a child identified as a Highly Sensitive Person, or a child on…",https://books.google.com/books/content?id=Sz0iEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781506480220
The Crayons' Book of Feelings,Drew Daywalt,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",TeachingExpertise,9780593404676,"The crayons are back in this board book all about feelings from the creators of the #1 New York Times bestselling The Day Crayons Quit and The Day the Crayons Came Home! Everyone knows the crayons love to color, but did you know that crayons have feelings too? Sometimes they are happy and sometimes they feel downright blue. From the creative minds behind the The Day the Crayons Quit and The Day…",https://books.google.com/books/content?id=vEEKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780593404676
Be Brave,Poppy O'Neill,6-9,children_nonfiction,"children,educators",Self-Management,"anxiety,confidence",TeachingExpertise,9781787836990,Does your child appear nervous and isolated in social settings? Perhaps they find it difficult to approach other children or make friends? Do they seem to avoid engaging in hobbies and activities? These could all be signs that your child is struggling with shyness. This practical guide combines cognitive behavioural therapy and mindfulness methods with simple activities to help your child…,https://books.google.com/books/content?id=x1oNzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781787836990
Listen Like an Elephant,Kira Willey,6-8,children_fiction,"children,educators",Self-Management,"mindfulness,communication",TeachingExpertise,9780593119983,"Part of the Mindfulness Moments for Kids series, this mindful meditation exercise featuring a colorful elephant helps kids feel focused, wherever they are. With Listen Like an Elephant, kids learn to slow down, listen to the world around them, and focus their minds--no matter how messy life becomes. Best of all, the exercise can be performed anywhere: in the backseat of a car, at home, or even at…",https://books.google.com/books/content?id=fk-FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780593119983
Interrupting Chicken,David Ezra Stein,6-8,children_fiction,"children,educators",Self-Management,"impulse-control,communication",TeachingExpertise,9781536225709,"In her latest star turn, the little red chicken from the Caldecott Honor Book Interrupting Chicken is hungry—and sillier than ever. It’s bright and early on a Saturday morning, and the little red chicken wants cookies for breakfast. What better way to persuade Papa than by jarring him awake and gleefully interjecting cookies—and herself!—into every nursery rhyme they read together? Though the Old…",https://books.google.com/books/content?id=r1oyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781536225709
Say Something,Peter H. Reynolds,6-9,children_fiction,"children,educators",Self-Awareness,"confidence,bullying",TeachingExpertise,9781338355031,"From the creator of the New York Times bestseller The Word Collector comes an empowering story about finding your voice, and using it to make the world a better place. The world needs your voice. If you have a brilliant idea... say something! If you see an injustice... say something!In this empowering new picture book, beloved author Peter H. Reynolds explores the many ways that a single voice…",https://books.google.com/books/content?id=fx2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781338355031
The Gray,Chris Baron,9-12,children_fiction,children,Self-Management,"anxiety,bullying,resilience",MacKids,9781250864727,"The Gray is a sensitively told middle grade story from Chris Baron about living with anxiety and finding ways to cope. It's been a tough year for Sasha—he's been bullied at his middle school and his anxiety, which he calls the Gray, is growing. Sasha's dad tells him to ""toughen up""—and he does, but with unfortunate, hurtful results. His parents and therapist agree that a summer in the country…",https://books.google.com/books/content?id=KKJ7EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781250864727
Friends Forever,Shannon Hale,9-12,children_fiction,children,Relationship-Skills,"friendship,self-acceptance,identity",MacKids,9781250849861,"Following up their mega-bestselling Real Friends and Best Friends graphic memoirs, Shannon Hale and LeUyen Pham are back with Friends Forever, a story about learning to love yourself exactly as you are. ● Over 2 million copies of the Real Friends series sold! ● Shannon is in eighth grade, and life is more complicated than ever. Everything keeps changing, her classmates are starting to date each…",https://books.google.com/books/content?id=6Pc4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3,3,,,,https://www.amazon.com/s?k=9781250849861
Maybe It's a Sign,E. L. Shen,9-12,children_fiction,children,Self-Management,"grief,loss,self-acceptance",MacKids,9780374390785,"An uplifting middle-grade novel about loss, luck . . . and deep-dish chocolate chip cookies—perfect for fans of King and the Dragonflies and The Remarkable Journey of Coyote Sunrise. Seventh-grader Freya June Sun has always believed in the Chinese superstitions spoon-fed to her since birth. Ever since her dad’s death a year ago, she’s become obsessed with them, and believes that her father is…",https://books.google.com/books/content?id=nF6wEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780374390785
Weirdo,Tony Weaver Jr.,9-12,children_fiction,children,Social-Awareness,"bullying,identity,confidence",MacKids,9781250401564,"From rising star Tony Weaver, Jr. comes a middle-grade graphic novel memoir about an awkward preteen who loves all things geeky but struggles with mental health issues and self-doubt, perfect for fans of Jerry Craft's New Kid. Eleven-year-old Tony Weaver, Jr. loves comic books, anime, and video games, and idolizes the heroic, larger-than-life characters he finds there. But his new classmates all…",https://books.google.com/books/content?id=ILwXEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781250401564
Frizzy,Claribel A. Ortega,9-12,children_fiction,children,Self-Awareness,"self-acceptance,identity,diversity",MacKids,9781250905345,"Winner of the Pura Belpré Award for Children's Text Winner of the Eisner for Best Publication for Kids Indie Bestseller New York Times-bestselling author Claribel A. Ortega and star debut artist Rose Bousamra's Frizzy is about Marlene, a young Dominican girl whose greatest enemy is the hair salon! Through her struggles and triumphs, this heartwarming and gorgeous middle-grade graphic novel shows…",https://books.google.com/books/content?id=sAmKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5,1,,,,https://www.amazon.com/s?k=9781250905345
Uprooted,Ruth Chan,9-12,children_fiction,children,Self-Management,"moving,identity,friendship",MacKids,9781250408945,"Perfect for fans of New Kid and A First Time for Everything, a joyful and tearful debut middle grade graphic memoir about one girl being uprooted when she moves to Hong Kong, a place where her family fits in but, for her, it's nothing like home. Ruth Chan loves her hometown in Toronto, hanging out with her best friends for life, and snacking on ketchup flavored potato chips, which are the best.…",https://books.google.com/books/content?id=LMAnEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781250408945
The Worst Day of My Life Ever!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,responsibility,social-skills",Free Spirit Publishing,9781545721742,"With his mother’s help, RJ learns that his problems happen because he doesn’t listen or pay attention to directions from her, his school principal, teachers, or even his friends. Author Julia Cook’s book shows RJ as well as all K-6 readers the steps to the fundamental social skills of listening and following instructions. When RJ learns to use these skills the right way, he has the best day of…",https://books.google.com/books/content?id=jn9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721742
I Just Don't Like the Sound of No!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,anger",Free Spirit Publishing,9781545721483,"‘NO’ is RJ’s least favorite word . . . and he tries his best to convince his dad, his mom, and his teacher to turn “No” into “Maybe” or “We’ll see” or “Later” or “I’ll think about it.” Author Julia Cook helps K-6 readers laugh and learn along with RJ as he understands the benefits of demonstrating the social skills of accepting “No” for an answer and disagreeing appropriately. Tips for parents…",https://books.google.com/books/content?id=4n5IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721483
"Sorry, I Forgot to Ask!",Julia Cook,6-9,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,communication",Free Spirit Publishing,9781545721599,"My Story about Asking for Permission and Making an Apology! RJ feels a lot happier when he says he’s sorry, and he learns that asking for permission will mean fewer trips to the time-out chair!",https://books.google.com/books/content?id=Cn9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721599
"Teamwork Isn't My Thing, and I Don't Like to Share!",Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"cooperation,sharing",Free Spirit Publishing,9781545721612,RJ has another tough day at school and again at home but learns that sharing and teamwork are two beneficial skills. Includes audio book read by award-winning author Julia Cook.,https://books.google.com/books/content?id=Dn9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721612
I Just Want to Do It My Way!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,cooperation",Free Spirit Publishing,9781934490457,"Are you searching for creative ways to teach students the right time and way to ask for help? Would your students benefit from learning how to stay on task so they get their work done? Use the ideas in this guide to help your students master the social skills of ""Staying on Task"" and ""Asking for Help."" The book provides teacher instructions, lists of materials when needed, and activity sheets for…",https://books.google.com/books/content?id=CSjBBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490457
Thanks for the Feedback...(I Think!),Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"resilience,growth-mindset,emotions",Free Spirit Publishing,9781545721636,"It doesn't matter is RJ hears compliments or constructive feedback, he is never sure how to respond. With guidance from his family, RJ learns why feedback, even when it's difficult to accept, is information he can use to become a better person.",https://books.google.com/books/content?id=DH9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721636
I Can't Believe You Said That!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"communication,impulse-control",Free Spirit Publishing,9781545721476,"RJ's mouth is getting him into a lot of trouble. A rude comment at school earned him a detention, and an incensitive remark at home earned him a scholding and made his sister cry. It's time RJ starts using a social filter when he speaks. He soon realizes he doesn't have to verbalize every thought that pops into his head. In fact, the less said the better!",https://books.google.com/books/content?id=4H5IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721476
Making Friends Is an Art!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"friendship,social-skills",Free Spirit Publishing,9781934490303,"Meet Brown, the least used pencil in the box. He discovers that in order to have friends, he needs to be a good friend. If Brown learns to use all of the friendship skills the other pencils have, he can make friends and have fun, too.",https://books.google.com/books/content?id=uhgY0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490303
Cliques Just Don't Make Cents,Julia Cook,6-10,children_fiction,"children,educators",Relationship-Skills,"friendship,inclusion,social-skills",Free Spirit Publishing,9781934490396,"Penny feels like she doesn't fit in with the others, but when she meets a beautiful gold coin named Dollar, she learns how special and valuable she is with Dollar's help.",https://books.google.com/books/content?id=-LJJqSEWxncC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490396
Peer Pressure Gauge,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"peer-pressure,choices,responsibility",Free Spirit Publishing,9781934490488,"Norbert the “namuh” is challenged by his classmates to participate in an activity he knows not to do. He risks being insulted and losing his friends. Norbert’s imaginative descriptions of how it feels to have your peer pressure gauge continue to rise will draw readers in, while they witness his internal deliberation as he tries to let his inner voice shine! Peer Pressure Gauge is the fourth…",https://books.google.com/books/content?id=D60bBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490488
Hygiene...You Stink!,Julia Cook,6-10,children_fiction,"children,educators",Relationship-Skills,"social-skills,self-esteem",Free Spirit Publishing,9781934490624,"How do you make young children understand the importance of bathing and brushing? In this ingenious tale, young readers are sure to get the message that good hygiene will improve their health and their relationships. The story centers around a fork named Jean who hates taking baths in the sink and detests showering in the dishwasher. It's a clever fable with a timeless message.",https://books.google.com/books/content?id=Bpk9CQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490624
I Want to Be the Only Dog,Julia Cook,6-8,children_fiction,"children,educators",Relationship-Skills,"new-sibling,sharing,cooperation",Free Spirit Publishing,9781934490860,"“I had it first!” “That’s not fair!” All parents and Educators know one thing – when you get more than one child in a room, there’s bound to be at least a couple of them arguing over something. Award-winning author Julia Cook tells the funny and relatable story of how her three dogs view their “siblings.” Each pooch would like to be the only dog in the family, have all the attention, and not have…",https://books.google.com/books/content?id=P2aNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490860
Table Talk,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"social-skills,communication,manners",Free Spirit Publishing,9781545721605,"Written from the table's point of view, this humorous tale helps kids understand that table manners are about much more than what fork to use. Good table manners are about being respectful, kind and considerate to others.",https://books.google.com/books/content?id=_H5IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721605
The Judgmental Flower,Julia Cook,6-9,children_fiction,"children,educators",Social-Awareness,"empathy,perspective-taking,diversity",Free Spirit Publishing,9781944882051,"Award-winning author Julia Cook's tale about diversity and prejudice comes to life inside a flower bed where Blues and Purples learn a valuable lesson about acceptance, understanding and friendship.",https://books.google.com/books/content?id=vPr0jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781944882051
Rumor Has It,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"honesty,communication,friendship",Free Spirit Publishing,9781944882242,"Whether we’ve been the subject of a rumor or the one spreading a rumor about someone else, most of us have been involved with rumors somehow. But how many people really stop to think about the damaging effects? Fortunately, award-winning author Julia Cook does, and cleverly brings this serious subject to light in an entertaining and funny, but cautionary, tale about the importance of NOT starting…",https://books.google.com/books/content?id=cgqwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781944882242
"Well, I Can Top That",Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,communication,social-skills",Free Spirit Publishing,9781545721728,"Brad is a ""one-upper."" Any time someone makes a comment, he chimes in with his own story…but it's always more extreme. In this imaginative story, young readers learn how to avoid being a ""one-upper"" and instead be a ""pull-upper.""",https://books.google.com/books/content?id=hn9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721728
Decibella and Her 6-Inch Voice,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"communication,impulse-control",Free Spirit Publishing,9781545757031,"Decibella is a loud talker. A really loud talker. She’s so loud, she’s hurting ears, startling wait staff, disrupting classmates, and annoying moviegoers. She doesn’t realize different environments and situations sometimes demand a softer, quieter voice. That is until a caring teacher introduces her to the silly-sounding word “Slurpadoodle” and the five volumes of voice (Whisper, 6-inch, Table…",https://books.google.com/books/content?id=9mniEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545757031
Gas Happens!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"social-skills,self-esteem",Free Spirit Publishing,9781545721452,"Everyone passes gas. If it's so natural, why do we struggle with teaching children how to respond appropriately when it happens? Join Gus as he and his classmates learn a brief biology lesson behind why we all pass gas, and the right way to handle it.",https://books.google.com/books/content?id=2n5IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721452
Technology Tail,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"technology,responsibility,communication",Free Spirit Publishing,9781545743997,"A cute, creative story about children and their texts, tweets, posts and pics. Don’t be mean and irresponsible! That’s the straight-to-the-point advice “Screen” has for young readers who are active on social media. Whether tapping out messages on their computers, tablets or phones, Screen wants kids to know their words – the kind and the cruel – will follow them for life, creating a digital trail…",https://books.google.com/books/content?id=amKPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545743997
But It's Not My Fault!,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing,9781545721414,"It just isn't Noodle's fault that his mom forgot to remind him to turn in his library book. Or that he didn't finish his homework. Luckily he learns not to blame others, but instead to take responsibility for his actions.",https://books.google.com/books/content?id=1n5IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545721414
Battitude!,Julia Cook,6-10,children_fiction,"children,educators",Self-Management,"anger,resilience,growth-mindset",Free Spirit Publishing,9781631983658,"When RJ has a bad attitude, his mom helps him understand how his mood affects everyone around him. Part of the Best Me I Can Be! series by Julia Cook, this story helps kids recognize and shift their own attitude.",https://covers.openlibrary.org/b/isbn/9781631983658-M.jpg,4.2,,,,,https://www.amazon.com/s?k=9781631983658
But That Rule Doesn't Apply to Me,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing,9781931636568,RJ thinks rules are for everyone else but him — until he learns how rules keep things fair and safe for everyone. A Julia Cook classic from the Best Me I Can Be! series about responsibility and fairness.,https://covers.openlibrary.org/b/isbn/9781931636568-M.jpg,4.3,,,,,https://www.amazon.com/s?k=9781931636568
Cheaters Never Prosper,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"honesty,choices,integrity",Free Spirit Publishing,9781545743973,"Noodle's really done it this time! What should have been a friendly competition among classmates turns sour after Noodle cheats his way to victory. He says he didn't really want to cheat but everyone has to once in a while, so what's the harm? Will Noodle get burned by his own deception, or will he muster the courage to confess to his trickery? Young readers will learn a valuable lesson about the…",https://books.google.com/books/content?id=bGKPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545743973
The Procrastinator,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,organization,stress",Free Spirit Publishing,9781944882099,"Noodle always chooses to do the things he wants to do while never getting around to doing the things he NEEDS to do! Luckily, he learns simple strategies to help him complete his chores and still have time for fun. This is the fifth title in the Responsible Me! sries by Julia Cook.--Publisher.",https://books.google.com/books/content?id=5K6MDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781944882099
What's in It for Me?,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,kindness,choices",Free Spirit Publishing,9781545747841,"Noodle is always being told what to do. Pull the weeds. Make his bed. Kick the ball a certain way in soccer. Ugh! But he wonders, why? What's in it for him? Luckily, the adults in Noodle's life are there to teach him the importance of moving 'need tos' into 'I did its!' Join Noodle as he learns the value of practicing small chores now, so he'll be ready for life's big challenges later.",https://books.google.com/books/content?id=X1-yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545747841
"Herman Jiggle, Say Hello!",Julia Cook,6-8,children_fiction,"children,educators",Relationship-Skills,"social-skills,friendship,anxiety",Free Spirit Publishing,9781545751015,Herman needs to figure out how to stop his tummy from doing flip-flops and his words from getting stuck so he can try to make new friends. This humorous story teaches kids the important skill of introducing themselves. Children ages 5 to 10 will laugh as Herman tries to calm his nerves and introduce himself to new people. Part of the Socially Skilled Kids book series.,https://books.google.com/books/content?id=J1PTDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545751015
"Herman Jiggle, Go to Sleep",Julia Cook,6-8,children_fiction,"children,educators",Self-Management,"anxiety,fear",Free Spirit Publishing,9781944882587,"﻿Why is it that when bedtime arrives, THAT’S the time children’s curiosity seems to peak? Well, at least that’s the case with Herman Jiggle. It’s bedtime, and as Mom helps Herman get ready, he has countless questions, like Why does the sun go away? Where does honey come from? Or, I have a best friend Charlie who can blow big bubbles. How do you make bubble gum? Mom’s patience is on point as she…",https://books.google.com/books/content?id=e5fyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781944882587
It's My Way or the Highway,Julia Cook,8-12,children_fiction,"children,educators",Relationship-Skills,"cooperation,conflict,impulse-control",Free Spirit Publishing,9781545747919,"Cora June is B-O-S-S-Y! Will anyone put the breaks on her outlandish demands? And will Cora June ever realize that she can be a leader, but still be flexible?",https://books.google.com/books/content?id=bV-yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545747919
The Great Compromise,Julia Cook,8-12,children_fiction,"children,educators",Relationship-Skills,"cooperation,conflict,communication",Free Spirit Publishing,9781944882440,"Cora June is very lucky – she knows exactly what she wants! And she often gets it! But when classmate Wilson challenges Cora June’s insistence on certain things, it’s time they learn how to compromise! With help from their teacher, Cora June and Wilson are introduced to different ways to compromise – and even encouraged to come up with some on their own! Will these two leaders-in-the-making learn…",https://books.google.com/books/content?id=_H7PDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781944882440
The I in Integrity,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"integrity,honesty,responsibility",Free Spirit Publishing,9781545753460,"Cora June is back, and this time she’s learning a thing or two about doing the right thing – even when no one is looking! When Cora June half-heartedly cleans her room by taking a shortcut, Mom is quick to ask her about her integrity. Not really knowing what it means, Cora June assumes it’s probably hidden under her bed, or in her closet. She continues to school, where she cheats on a spelling…",https://books.google.com/books/content?id=bCkKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781545753460
Cool Down and Work Through Anger,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"anger,impulse-control",Free Spirit Publishing,9798885541978,"Reassuring and supportive, this read-along ebook helps preschool and primary children learn concrete social skills for anger management and discover that when they cool down and work through anger, they can feel peaceful again. The English-Spanish editions from the popular Learning to Get Along series help children learn, understand, and practice basic social and emotional skills. Real-life…",https://books.google.com/books/content?id=0IT0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9798885541978
Accept and Value Each Person,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"diversity,inclusion,empathy",Free Spirit Publishing,9781575428062,"The world is becoming more diverse, and so are the daily lives of our children. Accepting and valuing people and groups who are different from oneself and one's immediate family is a critical social skill. Accept and Value Each Person introduces diversity and related concepts: respecting differences, being inclusive, and appreciating people just the way they are. Includes questions, activities,…",https://books.google.com/books/content?id=f70GqNjWpI0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781575428062
